market,dim,bucket,announce_car,effective_car,gap_drift,n_events,asymmetry_index
CN,liquidity,Q1,0.014341963981137905,0.0005560802750924212,-0.008949750999622958,24,-0.5812000871552643
CN,liquidity,Q2,0.032057919339338874,-0.00319018742799953,-0.01961109509485959,23,-0.7090409762601227
CN,liquidity,Q3,0.013319505902851594,-0.004532199910745895,-0.003760924820040487,23,-0.6179903187809712
CN,liquidity,Q4,0.008729622183348112,0.0006122091360020141,0.038811708942273426,23,4.464960930335781
CN,liquidity,Q5,0.019700141851583173,0.026721213932438714,0.0314103775049463,24,2.935917927918125
US,liquidity,Q1,0.010411475906660264,-0.006484551099560758,-0.01869867085521472,50,-2.3957836348004116
US,liquidity,Q2,0.013430742793776202,-0.004771945439147341,-0.01174254405609656,50,-1.220516105208958
US,liquidity,Q3,0.008168530570075437,0.002258069104033236,-0.0005225716971473137,50,0.20989187766528256
US,liquidity,Q4,0.011517753558976527,-0.007537882867138579,-0.0036107230013744484,50,-0.9596180373355391
US,liquidity,Q5,0.049823390963660674,0.007674114896545836,0.014244948547438263,50,0.43905397892420855
