index_name,snapshot_date,total_tna_cny_billions,etf_count,source,note
CSI300,2020-12-31,140.0259683997166,19,akshare:fund_etf_scale_sse+fund_scale_daily_szse+fund_etf_fund_info_em:aggregated_by_underlying_index,Proxy: sum of year-end TNA (shares*NAV) of curated ETF list tracking the index. NAV comes from fund_etf_fund_info_em with fund_etf_hist_em close-price fallback when the NAV endpoint returns empty on transient failure. Not direct passive AUM disclosure; ETF universe expands over time so older snapshots understate true passive-tracking AUM. See docs/limitations.md §3.
CSI300,2021-12-31,145.23537944936547,19,akshare:fund_etf_scale_sse+fund_scale_daily_szse+fund_etf_fund_info_em:aggregated_by_underlying_index,Proxy: sum of year-end TNA (shares*NAV) of curated ETF list tracking the index. NAV comes from fund_etf_fund_info_em with fund_etf_hist_em close-price fallback when the NAV endpoint returns empty on transient failure. Not direct passive AUM disclosure; ETF universe expands over time so older snapshots understate true passive-tracking AUM. See docs/limitations.md §3.
CSI300,2022-12-31,159.78409663029169,19,akshare:fund_etf_scale_sse+fund_scale_daily_szse+fund_etf_fund_info_em:aggregated_by_underlying_index,Proxy: sum of year-end TNA (shares*NAV) of curated ETF list tracking the index. NAV comes from fund_etf_fund_info_em with fund_etf_hist_em close-price fallback when the NAV endpoint returns empty on transient failure. Not direct passive AUM disclosure; ETF universe expands over time so older snapshots understate true passive-tracking AUM. See docs/limitations.md §3.
CSI300,2023-12-31,283.2617792777317,20,akshare:fund_etf_scale_sse+fund_scale_daily_szse+fund_etf_fund_info_em:aggregated_by_underlying_index,Proxy: sum of year-end TNA (shares*NAV) of curated ETF list tracking the index. NAV comes from fund_etf_fund_info_em with fund_etf_hist_em close-price fallback when the NAV endpoint returns empty on transient failure. Not direct passive AUM disclosure; ETF universe expands over time so older snapshots understate true passive-tracking AUM. See docs/limitations.md §3.
CSI300,2024-12-31,984.3855590366774,22,akshare:fund_etf_scale_sse+fund_scale_daily_szse+fund_etf_fund_info_em:aggregated_by_underlying_index,Proxy: sum of year-end TNA (shares*NAV) of curated ETF list tracking the index. NAV comes from fund_etf_fund_info_em with fund_etf_hist_em close-price fallback when the NAV endpoint returns empty on transient failure. Not direct passive AUM disclosure; ETF universe expands over time so older snapshots understate true passive-tracking AUM. See docs/limitations.md §3.
CSI500,2020-12-31,54.872276004282,10,akshare:fund_etf_scale_sse+fund_scale_daily_szse+fund_etf_fund_info_em:aggregated_by_underlying_index,Proxy: sum of year-end TNA (shares*NAV) of curated ETF list tracking the index. NAV comes from fund_etf_fund_info_em with fund_etf_hist_em close-price fallback when the NAV endpoint returns empty on transient failure. Not direct passive AUM disclosure; ETF universe expands over time so older snapshots understate true passive-tracking AUM. See docs/limitations.md §3.
CSI500,2021-12-31,70.8465861539272,10,akshare:fund_etf_scale_sse+fund_scale_daily_szse+fund_etf_fund_info_em:aggregated_by_underlying_index,Proxy: sum of year-end TNA (shares*NAV) of curated ETF list tracking the index. NAV comes from fund_etf_fund_info_em with fund_etf_hist_em close-price fallback when the NAV endpoint returns empty on transient failure. Not direct passive AUM disclosure; ETF universe expands over time so older snapshots understate true passive-tracking AUM. See docs/limitations.md §3.
CSI500,2022-12-31,78.75793515077069,10,akshare:fund_etf_scale_sse+fund_scale_daily_szse+fund_etf_fund_info_em:aggregated_by_underlying_index,Proxy: sum of year-end TNA (shares*NAV) of curated ETF list tracking the index. NAV comes from fund_etf_fund_info_em with fund_etf_hist_em close-price fallback when the NAV endpoint returns empty on transient failure. Not direct passive AUM disclosure; ETF universe expands over time so older snapshots understate true passive-tracking AUM. See docs/limitations.md §3.
CSI500,2023-12-31,66.6135669792165,10,akshare:fund_etf_scale_sse+fund_scale_daily_szse+fund_etf_fund_info_em:aggregated_by_underlying_index,Proxy: sum of year-end TNA (shares*NAV) of curated ETF list tracking the index. NAV comes from fund_etf_fund_info_em with fund_etf_hist_em close-price fallback when the NAV endpoint returns empty on transient failure. Not direct passive AUM disclosure; ETF universe expands over time so older snapshots understate true passive-tracking AUM. See docs/limitations.md §3.
CSI500,2024-12-31,135.0363360516127,11,akshare:fund_etf_scale_sse+fund_scale_daily_szse+fund_etf_fund_info_em:aggregated_by_underlying_index,Proxy: sum of year-end TNA (shares*NAV) of curated ETF list tracking the index. NAV comes from fund_etf_fund_info_em with fund_etf_hist_em close-price fallback when the NAV endpoint returns empty on transient failure. Not direct passive AUM disclosure; ETF universe expands over time so older snapshots understate true passive-tracking AUM. See docs/limitations.md §3.
